name;class;play_style;title
Nocturne;Slayer;Assassin;the Eternal Nightmare
Nunu;Tank;Warden;the Boy and His Yeti
Olaf;Fighter;Diver;the Berserker
Orianna;Mage;Burst;the Lady of Clockwork
Ornn;Tank;Vanguard;The Fire Below the Mountain
Pantheon;Fighter;Diver;the Unbreakable Spear
Poppy;Tank;Warden;Keeper of the Hammer
Pyke;Slayer;Assassin;the Bloodharbor Ripper
Qiyana;Slayer;Assassin;Empress of the Elements
Quinn;Specialist;Specialist;Demacias Wings
Rakan;Controllerer;Catcher;The Charmer
Rammus;Tank;Vanguard;the Armordillo
RekSai;Fighter;Diver;the Void Burrower
Rell;Tank;Vanguard;the Iron Maiden
Renata Glasc;Support;Enchanter;the Chem-Baroness
Renekton;Fighter;Diver;the Butcher of the Sands
Rengar;Slayer;Assassin;the Pridestalker
Riven;Slayer;Skirmisher;the Exile
Rumble;Mage;Battlemage;the Mechanized Menace
Ryze;Mage;Battlemage;the Rune Mage
Samira;Marksman;Marksman;the Desert Rose
Sejuani;Tank;Vanguard;Fury of the North
Senna;Marksman;Marksman;the Redeemer
Seraphine;Mage;Burst;the StarryEyed Songstress
Sett;Fighter;Juggernaut;the Boss
Shaco;Slayer;Assassin;the Demon Jester
Shen;Tank;Warden;the Eye of Twilight
Shyvana;Fighter;Juggernaut;the Half-Dragon
Singed;Specialist;Specialist;the Mad Chemist
Sion;Tank;Vanguard;The Undead Juggernaut
Sivir;Marksman;Marksman;the Battle Mistress
Skarner;Fighter;Diver;the Crystal Vanguard
Sona;Controller;Enchanter;Maven of the Strings
Soraka;Controller;Enchanter;the Starchild
Swain;Mage;Battlemage;the Noxian Grand General
Sylas;Mage;Burst;the Unshackled
Syndra;Mage;Burst;the Dark Sovereign
Tahm Kench;Tank;Warden;the River King
Taliyah;Mage;Battlemage;the Stoneweaver
Talon;Slayer;Assassin;the Blade's Shadow
Taric;Controller;Enchanter;the Shield of Valoran
Teemo;Specialist;Specialist;the Swift Scout
Thresh;Controllerer;Catcher;the Chain Warden
Tristana;Marksman;Marksman;the Yordle Gunner
Trundle;Fighter;Juggernaut;the Troll King
Tryndamere;Slayer;Skirmisher;the Barbarian King
Twisted Fate;Mage;Burst;the Card Master
Twitch;Marksman;Marksman;the Plague Rat
Udyr;Fighter;Juggernaut;the Spirit Walker
Urgot;Fighter;Juggernaut;the Dreadnought
Varus;Marksman;Marksman;the Arrow of Retribution
Vayne;Marksman;Marksman;the Night Hunter
Veigar;Mage;Burst;the Tiny Master of Evil
VelKoz;Mage Artillery;Artillery;the Eye of the Void
Vex;Mage;Burst;the Gloomist
Vi;Fighter;Diver;the Piltover Enforcer
Viego;Slayer;Skirmisher;The Ruined King
Viktor;Mage;Battlemage;the Machine Herald
Vladimir;Mage;Battlemage;the Crimson Reaper
Volibear;Fighter;Juggernaut;the Relentless Storm
Warwick;Fighter;Diver;the Uncaged Wrath of Zaun
Wukong;Fighter;Diver;the Monkey King
Xayah;Marksman;Marksman;the Rebel
Xerath;Mage Artillery;Artillery;the Magus Ascendant
Xin Zhao;Fighter;Diver;the Seneschal of Demacia
Yasuo;Slayer;Skirmisher;the Unforgiven
Yone;Slayer;Assassin;the Unforgotten
Yorick;Fighter;Juggernaut;Shepherd of Souls
Yuumi;Controller;Enchanter;the Magical Cat
Zac;Tank;Vanguard;the Secret Weapon
Zed;Slayer;Assassin;the Master of Shadows
Zeri;Marksman;Marksman;the Spark of Zaun
Ziggs;Mage Artillery;Artillery;the Hexplosives Expert
Zilean;Specialist;Specialist;the Chronokeeper
Zoe;Mage;Burst;the Aspect of Twilight
Zyra;Controller;Catcher;Rise of the Thorns
