Year;Champion;Role;P;B;W;K;D
2015;Kennen;Top;6.8;6.8;40;16;21
2015;KogMaw;ADC;9.6;1.4;43;42;18
2015;LeBlanc;Middle;15.1;8.2;55;56;16
2015;Lee Sin;Jungle;24.7;13.7;50;45;50
2015;Leona;Support;1.4;0.0;100;0;3
2015;Lissandra;Middle;4.1;0.0;67;11;10
2015;Lissandra;Top;1.4;0.0;0;0;5
2015;Lucian;ADC;1.4;0.0;100;7;4
2015;Lulu;Middle;24.7;58.9;44;42;33
2015;Lulu;Top;11.0;58.9;63;9;18
2015;Malphite;Top;13.7;5.5;30;18;18
2015;Maokai;Top;4.1;0.0;0;2;10
2015;Mordekaiser;ADC;5.5;93.2;100;26;4
2015;Morgana;Middle;1.4;2.7;0;2;4
2015;Morgana;Support;23.3;2.7;47;4;45
2015;Nautilus;Support;1.4;0.0;0;0;6
2015;Nidalee;Jungle;4.1;4.1;100;12;6
2015;Nunu;Jungle;1.4;0.0;0;1;5
2015;Olaf;Jungle;1.4;2.7;0;4;6
2015;Olaf;Middle;1.4;2.7;100;8;2
2015;Olaf;Top;11.0;2.7;38;31;18
2015;Orianna;Middle;16.4;0.0;25;31;37
2015;RekSai;Jungle;50.7;26.0;41;50;94
2015;Renekton;Top;8.2;5.5;67;22;11
2015;Rengar;Jungle;2.7;0.0;0;4;6
2015;Riven;Top;13.7;0.0;50;34;36
2015;Rumble;Top;6.8;1.4;80;29;15
2015;Ryze;Middle;8.2;2.7;83;29;8
2015;Shen;Support;15.1;4.1;82;9;33
2015;Shen;Top;1.4;4.1;100;2;0
2015;Sivir;ADC;26.0;0.0;47;64;45
2015;Skarner;Jungle;4.1;0.0;33;2;5
2015;Syndra;Middle;1.4;0.0;0;2;1
2015;Tahm Kench;Support;19.2;27.4;71;11;34
2015;Thresh;Support;39.7;8.2;45;22;88
2015;Tristana;ADC;37.0;0.0;41;89;58
2015;Twisted Fate;Middle;16.4;21.9;58;46;31
2015;Twitch;ADC;1.4;0.0;0;4;4
2015;Varus;ADC;1.4;5.5;100;3;4
2015;Varus;Middle;1.4;5.5;0;1;6
2015;Vayne;ADC;8.2;1.4;33;26;17
2015;Veigar;Middle;11.0;13.7;38;31;24
2015;Vi;Jungle;1.4;0.0;0;0;6
2015;Viktor;Middle;23.3;1.4;47;64;31
2015;Vladimir;Top;1.4;0.0;100;0;3
2015;Yasuo;Middle;6.8;8.2;40;15;20
2015;Yasuo;Top;1.4;8.2;0;5;4
2015;Zac;Jungle;2.7;0.0;100;0;4
2015;Zed;Middle;2.7;0.0;0;7;6
2016;Alistar;Jungle;1.3;6.5;100;1;1
2016;Alistar;Support;28.6;6.5;64;13;59
2016;Anivia;Middle;1.3;1.3;100;2;2
2016;Ashe;ADC;14.3;5.2;64;33;26
2016;Aurelion Sol;Middle;15.6;26.0;67;59;30
2016;Bard;Support;15.6;6.5;25;12;47
2016;Brand;Support;1.3;10.4;100;3;1
2016;Braum;Support;20.8;0.0;38;10;38
2016;Caitlyn;ADC;44.2;19.5;47;93;74
2016;Cassiopeia;Middle;28.6;7.8;36;67;60
2016;Ekko;Top;13.0;1.3;50;30;23
2016;Elise;Jungle;37.7;27.3;34;64;75
2016;Ezreal;ADC;41.6;9.1;34;122;71
2016;Fiora;Top;1.3;0.0;0;5;7
2016;Gnar;Top;23.4;15.6;39;37;47
2016;Graves;Jungle;9.1;0.0;43;16;18
2016;Hecarim;Jungle;3.9;0.0;67;6;4
2016;Irelia;Top;6.5;1.3;60;22;20
2016;Jayce;Middle;5.2;27.3;50;11;14
2016;Jayce;Top;28.6;27.3;59;60;60
2016;Jhin;ADC;50.6;15.6;62;151;74
2016;Jinx;ADC;6.5;0.0;40;12;8
2016;Karma;Middle;6.5;20.8;40;10;16
2016;Karma;Support;48.1;20.8;46;14;90
2016;Kennen;Support;1.3;18.2;0;2;9
2016;Kennen;Top;28.6;18.2;55;62;69
2016;KhaZix;Jungle;1.3;0.0;0;4;4
2016;Kindred;Jungle;1.3;0.0;0;2;5
2016;Kled;Top;1.3;0.0;0;1;6
2016;Lee Sin;Jungle;46.8;10.4;56;99;86
2016;Lee Sin;Support;1.3;10.4;100;1;2
2016;Lissandra;Middle;3.9;0.0;67;10;10
2016;Lucian;ADC;16.9;1.3;54;58;23
2016;Malzahar;Middle;14.3;3.9;45;43;35
2016;Maokai;Top;2.6;0.0;50;5;5
2016;Miss Fortune;Support;3.9;5.2;100;6;9
2016;Nami;Support;31.2;2.6;42;17;58
2016;Nautilus;Top;1.3;0.0;0;1;4
2016;Nidalee;Jungle;14.3;85.7;73;28;31
2016;Nocturne;Jungle;1.3;0.0;100;3;2
2016;Olaf;Jungle;46.8;29.9;50;90;82
2016;Orianna;Middle;16.9;0.0;38;40;35
2016;Poppy;Top;37.7;11.7;48;48;61
2016;RekSai;Jungle;23.4;20.8;44;26;45
2016;Rumble;Top;41.6;11.7;50;76;109
2016;Ryze;Middle;24.7;35.1;53;71;34
2016;Shen;Top;1.3;1.3;0;3;4
2016;Sivir;ADC;26.0;14.3;50;46;33
2016;Skarner;Jungle;7.8;1.3;67;11;13
2016;Soraka;Support;2.6;1.3;50;1;6
2016;Syndra;Middle;20.8;76.6;63;77;40
2016;Tahm Kench;Support;14.3;15.6;55;16;30
2016;Taric;Support;1.3;0.0;100;0;7
2016;Trundle;Support;1.3;1.3;0;0;4
2016;Trundle;Top;13.0;1.3;60;24;18
2016;Twisted Fate;Middle;1.3;6.5;0;0;6
2016;Varus;Middle;6.5;3.9;60;13;10
2016;Viktor;Middle;29.9;7.8;57;85;55
2016;Vladimir;Middle;19.5;15.6;47;50;27
2016;Zac;Jungle;5.2;5.2;50;10;9
2016;Zilean;Middle;5.2;0.0;25;11;15
2016;Zyra;Support;28.6;6.5;64;32;61
2017;Alistar;Support;2.5;2.5;0;0;5
2017;Ashe;ADC;1.3;0.0;100;5;0
2017;Aurelion Sol;Middle;1.3;0.0;0;3;4
2017;Blitzcrank;Support;3.8;3.8;33;2;9
2017;Braum;Support;1.3;1.3;100;0;1
2017;Caitlyn;ADC;11.3;12.5;67;30;9
2017;Camille;Top;3.8;0.0;33;7;5
2017;Cassiopeia;Middle;11.3;25.0;44;17;15
2017;Chogath;Jungle;1.3;26.3;0;1;3
2017;Chogath;Top;50.0;26.3;53;83;87
2017;Corki;Middle;20.0;3.8;44;32;28
2017;Ekko;Middle;1.3;0.0;0;3;2
2017;Elise;Jungle;2.5;2.5;50;3;3
2017;Ezreal;Jungle;7.5;20.0;33;10;12
2017;Fizz;Middle;5.0;0.0;75;10;5
2017;Galio;Middle;21.3;65.0;71;35;19
2017;Galio;Top;5.0;65.0;50;2;13
2017;Gangplank;Top;1.3;0.0;0;2;4
2017;Gnar;Top;20.0;31.3;75;39;31
2017;Gragas;Jungle;45.0;27.5;64;33;71
2017;Graves;Jungle;2.5;1.3;50;3;6
2017;Ivern;Jungle;2.5;3.8;50;1;5
2017;Janna;Support;55.0;40.0;70;13;41
2017;Jarvan IV;Jungle;46.3;46.3;49;48;89
2017;Jarvan IV;Top;6.3;46.3;80;17;12
2017;Jax;Top;1.3;1.3;0;3;4
2017;Jayce;Middle;3.8;45.0;67;11;2
2017;Jayce;Top;10.0;45.0;63;21;17
2017;Jinx;ADC;1.3;0.0;0;0;2
2017;Karma;Middle;3.8;3.8;33;4;8
2017;Karma;Support;10.0;3.8;25;1;19
2017;Kassadin;Middle;5.0;12.5;50;9;8
2017;Kayn;Jungle;3.8;1.3;33;7;7
2017;Kennen;Top;5.0;1.3;50;9;11
2017;KhaZix;Jungle;3.8;5.0;100;7;7
2017;KogMaw;ADC;33.8;27.5;44;93;60
2017;LeBlanc;Middle;5.0;28.7;75;20;4
2017;Lee Sin;Jungle;5.0;0.0;50;5;10
2017;Leona;Support;3.8;1.3;67;6;7
2017;Lissandra;Middle;1.3;0.0;100;3;1
2017;Lucian;Middle;6.3;15.0;20;14;18
2017;Lulu;Support;58.8;35.0;40;18;73
2017;Malzahar;Middle;12.5;8.8;90;27;23
2017;Maokai;Jungle;1.3;7.5;0;1;5
2017;Maokai;Top;31.3;7.5;28;13;61
2017;Mordekaiser;Top;1.3;0.0;0;0;8
2017;Morgana;Support;2.5;0.0;0;3;5
2017;Nami;Support;1.3;0.0;0;1;2
2017;Nasus;Top;1.3;1.3;100;2;0
2017;Nautilus;Top;3.8;0.0;67;2;6
2017;Nidalee;Jungle;1.3;3.8;0;2;3
2017;Nocturne;Jungle;2.5;2.5;50;6;8
2017;Orianna;Middle;16.3;23.8;46;30;27
2017;Rakan;Support;25.0;42.5;55;11;42
2017;RekSai;Jungle;13.8;8.8;36;26;27
2017;Renekton;Top;3.8;7.5;33;11;7
2017;Rengar;Jungle;1.3;0.0;0;6;6
2017;Rumble;Top;8.8;10.0;43;15;16
2017;Ryze;Middle;35.0;18.8;32;66;46
2017;Sejuani;Jungle;55.0;43.8;50;62;78
2017;Shen;Top;27.5;36.3;50;39;36
2017;Singed;Top;2.5;2.5;100;2;3
2017;Sivir;ADC;3.8;1.3;33;8;8
2017;Sona;Support;1.3;0.0;0;0;4
2017;Soraka;Support;5.0;1.3;75;1;8
2017;Syndra;Middle;28.7;35.0;43;52;45
2017;Tahm Kench;Support;1.3;0.0;100;1;1
2017;Taliyah;Middle;20.0;30.0;56;48;23
2017;Taric;Support;22.5;2.5;39;3;25
2017;Thresh;Support;3.8;5.0;33;3;5
2017;Tristana;ADC;56.3;20.0;49;144;74
2017;Trundle;Support;1.3;13.8;100;0;1
2017;Trundle;Top;12.5;13.8;50;15;13
2017;Twitch;ADC;27.5;11.3;59;92;35
2017;Urgot;Top;2.5;1.3;50;4;8
2017;Varus;ADC;28.7;7.5;43;61;40
2017;Vayne;ADC;5.0;1.3;50;18;4
2017;Vladimir;Middle;1.3;1.3;0;1;1
2017;Xayah;ADC;31.3;55.0;52;77;32
2017;Yasuo;Middle;1.3;0.0;100;6;3
2017;Yasuo;Top;2.5;0.0;0;2;6
2017;Zac;Jungle;5.0;1.3;25;3;11
2017;Zilean;Support;1.3;0.0;0;2;5
2018;Aatrox;Middle;7.8;58.4;67;21;16
2018;Aatrox;Top;32.5;58.4;52;44;61
2018;Ahri;Middle;1.3;0.0;100;3;3
2018;Akali;Middle;7.8;66.2;83;42;16
2018;Akali;Top;6.5;66.2;60;8;9
2018;Alistar;Support;36.4;61.0;54;14;61
2018;Ashe;ADC;1.3;0.0;0;2;2
2018;Azir;Middle;7.8;1.3;50;17;9
2018;Bard;Support;1.3;0.0;0;1;2
2018;Brand;ADC;1.3;0.0;0;5;5
2018;Braum;Support;31.2;7.8;54;9;49
2018;Camille;Jungle;14.3;32.5;55;32;32
2018;Camille;Top;7.8;32.5;33;9;17
2018;Cassiopeia;Middle;3.9;0.0;0;5;5
2018;Chogath;Top;3.9;0.0;33;6;7
2018;Draven;ADC;2.6;7.8;50;9;3
2018;Ekko;Middle;2.6;1.3;50;11;7
2018;Ekko;Top;2.6;1.3;0;4;11
2018;Elise;Jungle;1.3;0.0;0;0;2
2018;Evelynn;Jungle;1.3;0.0;0;0;1
2018;Ezreal;ADC;10.4;1.3;38;19;18
2018;Fiora;Top;2.6;0.0;0;6;3
2018;Galio;Middle;27.3;22.1;48;47;45
2018;Gangplank;Top;2.6;1.3;50;5;3
2018;Gragas;Jungle;27.3;11.7;48;39;47
2018;Gragas;Support;13.0;11.7;30;3;38
2018;Gragas;Top;1.3;11.7;0;3;3
2018;Graves;Jungle;5.2;0.0;25;13;7
2018;Hecarim;Top;1.3;1.3;100;5;2
2018;Heimerdinger;ADC;2.6;16.9;100;4;0
2018;Irelia;Middle;16.9;51.9;62;46;38
2018;Irelia;Top;14.3;51.9;55;41;33
2018;Jarvan IV;Jungle;3.9;0.0;33;7;11
2018;Jax;Jungle;1.3;2.6;0;1;4
2018;Jax;Top;1.3;2.6;100;2;1
2018;Jayce;Middle;1.3;10.4;100;4;1
2018;Jayce;Top;5.2;10.4;50;12;15
2018;Jhin;ADC;7.8;6.5;33;8;9
2018;Kaisa;ADC;55.8;24.7;49;167;79
2018;Kalista;ADC;2.6;0.0;50;5;5
2018;Kassadin;Middle;1.3;0.0;0;0;3
2018;Kindred;Jungle;7.8;22.1;33;8;20
2018;Kled;Top;1.3;0.0;100;2;1
2018;LeBlanc;Middle;22.1;44.2;71;71;34
2018;Lee Sin;Jungle;22.1;9.1;53;46;35
2018;Leona;Support;14.3;2.6;64;11;33
2018;Lissandra;Middle;28.6;27.3;32;44;61
2018;Lucian;ADC;19.5;10.4;60;50;26
2018;Lulu;Middle;1.3;0.0;0;0;0
2018;Malzahar;Middle;1.3;2.6;0;0;3
2018;Mordekaiser;ADC;1.3;0.0;0;0;3
2018;Nami;Support;1.3;0.0;0;0;3
2018;Nautilus;Support;2.6;1.3;50;1;10
2018;Nidalee;Jungle;1.3;0.0;0;0;4
2018;Nocturne;Jungle;28.6;40.3;68;44;51
2018;Olaf;Jungle;20.8;14.3;44;54;29
2018;Ornn;Top;15.6;16.9;83;18;25
2018;Poppy;Jungle;2.6;3.9;0;3;5
2018;Poppy;Support;1.3;3.9;0;1;5
2018;Poppy;Top;6.5;3.9;40;4;10
2018;Rakan;Support;40.3;32.5;55;29;73
2018;RekSai;Jungle;1.3;0.0;100;10;3
2018;Ryze;Middle;16.9;22.1;38;34;28
2018;Ryze;Top;5.2;22.1;75;6;4
2018;Shen;Support;10.4;15.6;63;2;23
2018;Shen;Top;10.4;15.6;50;19;11
2018;Singed;Top;1.3;0.0;100;5;1
2018;Sion;Middle;6.5;19.5;80;5;3
2018;Sion;Top;31.2;19.5;38;21;56
2018;Sivir;ADC;23.4;11.7;67;62;30
2018;Skarner;Jungle;3.9;10.4;0;3;10
2018;Swain;Middle;7.8;10.4;50;26;14
2018;Swain;Top;6.5;10.4;40;12;14
2018;Syndra;Middle;24.7;27.3;47;51;41
2018;Tahm Kench;Support;20.8;44.2;44;8;36
2018;Taliyah;Jungle;22.1;32.5;59;54;32
2018;Thresh;Support;27.3;19.5;43;13;72
2018;Tristana;ADC;11.7;6.5;44;19;9
2018;Trundle;Jungle;1.3;0.0;0;0;5
2018;Urgot;Middle;2.6;58.4;50;3;4
2018;Urgot;Top;33.8;58.4;46;71;70
2018;Varus;ADC;14.3;14.3;45;32;25
2018;VelKoz;Middle;2.6;3.9;50;3;4
2018;Viktor;ADC;1.3;7.8;0;0;2
2018;Viktor;Middle;1.3;7.8;0;2;5
2018;Viktor;Top;6.5;7.8;60;19;12
2018;Xayah;ADC;44.2;36.4;50;127;61
2018;Xin Zhao;Jungle;32.5;24.7;56;68;59
2018;Yasuo;Middle;1.3;2.6;100;1;5
2018;Zac;Jungle;1.3;2.6;100;0;0
2018;Zilean;Middle;2.6;9.1;50;15;4
2018;Zoe;Middle;2.6;1.3;0;3;6
2019;Aatrox;Middle;1.3;2.6;100;2;1
2019;Aatrox;Top;7.8;2.6;50;15;17
2019;Akali;Middle;15.6;59.7;67;44;14
2019;Akali;Top;11.7;59.7;44;31;19
2019;Alistar;Support;14.3;3.9;36;4;44
2019;Anivia;Middle;1.3;0.0;0;1;2
2019;Azir;Middle;3.9;0.0;33;9;10
2019;Bard;Support;1.3;0.0;0;0;7
2019;Blitzcrank;Support;7.8;7.8;33;8;27
2019;Caitlyn;ADC;1.3;0.0;0;4;3
2019;Camille;Middle;3.9;6.5;100;11;2
2019;Camille;Top;5.2;6.5;100;8;13
2019;Cassiopeia;ADC;1.3;2.6;0;0;7
2019;Cassiopeia;Middle;7.8;2.6;50;18;20
2019;Chogath;Top;3.9;1.3;33;9;4
2019;Corki;Middle;2.6;0.0;50;9;2
2019;Draven;ADC;2.6;1.3;50;9;5
2019;Ekko;Jungle;1.3;0.0;100;3;2
2019;Elise;Jungle;29.9;28.6;48;75;68
2019;Ezreal;ADC;18.2;11.7;36;36;33
2019;Ezreal;Middle;1.3;11.7;100;3;0
2019;Ezreal;Top;1.3;11.7;0;3;3
2019;Fiddlesticks;Support;1.3;0.0;100;2;3
2019;Fiora;Top;3.9;5.2;33;10;13
2019;Galio;Middle;6.5;6.5;40;11;14
2019;Galio;Support;9.1;6.5;29;3;26
2019;Gangplank;Top;33.8;23.4;54;65;61
2019;Garen;ADC;9.1;1.3;43;25;22
2019;Gnar;Top;10.4;2.6;50;17;16
2019;Gragas;Jungle;44.2;20.8;65;75;89
2019;Gragas;Support;9.1;20.8;57;1;21
2019;Heimerdinger;ADC;5.2;6.5;25;8;15
2019;Irelia;ADC;1.3;14.3;100;5;2
2019;Irelia;Middle;2.6;14.3;50;4;9
2019;Irelia;Top;1.3;14.3;0;2;6
2019;Jarvan IV;Jungle;13.0;13.0;30;10;30
2019;Jax;Top;1.3;5.2;100;1;0
2019;Jayce;Middle;5.2;14.3;25;11;10
2019;Jayce;Top;15.6;14.3;50;38;38
2019;Jinx;ADC;2.6;0.0;50;8;3
2019;Kaisa;ADC;64.9;15.6;50;243;94
2019;Karma;Support;1.3;2.6;100;0;2
2019;Karthus;Jungle;2.6;1.3;0;4;4
2019;Kayle;ADC;1.3;46.8;100;5;2
2019;Kayle;Middle;13.0;46.8;40;20;20
2019;Kayle;Top;13.0;46.8;50;24;41
2019;Kennen;Top;2.6;2.6;50;3;8
2019;KhaZix;Jungle;1.3;0.0;0;1;1
2019;Kled;Middle;2.6;13.0;50;9;4
2019;Kled;Top;3.9;13.0;67;5;6
2019;KogMaw;ADC;1.3;0.0;100;12;6
2019;LeBlanc;Middle;13.0;35.1;70;39;18
2019;Lee Sin;Jungle;54.5;10.4;45;106;113
2019;Leona;Support;19.5;9.1;67;13;55
2019;Lissandra;Middle;2.6;1.3;50;5;6
2019;Lucian;ADC;5.2;9.1;0;4;15
2019;Lucian;Middle;3.9;9.1;33;16;12
2019;Lucian;Top;2.6;9.1;50;9;7
2019;Lulu;Support;2.6;0.0;50;1;5
2019;Malphite;Middle;1.3;0.0;100;3;1
2019;Mordekaiser;Top;5.2;0.0;0;16;14
2019;Morgana;ADC;1.3;13.0;0;0;2
2019;Morgana;Support;3.9;13.0;67;5;4
2019;Nautilus;Middle;5.2;22.1;75;16;18
2019;Nautilus;Support;42.9;22.1;52;32;107
2019;Neeko;Middle;1.3;0.0;0;1;3
2019;Nocturne;Jungle;5.2;3.9;25;3;14
2019;Olaf;Jungle;10.4;13.0;63;32;25
2019;Orianna;ADC;1.3;1.3;0;1;4
2019;Orianna;Middle;10.4;1.3;63;22;20
2019;Ornn;Support;2.6;5.2;50;1;5
2019;Ornn;Top;9.1;5.2;71;15;18
2019;Poppy;Middle;1.3;0.0;0;2;5
2019;Poppy;Support;1.3;0.0;100;3;4
2019;Poppy;Top;1.3;0.0;0;1;5
2019;Pyke;Middle;1.3;7.8;0;3;4
2019;Pyke;Support;7.8;7.8;17;13;21
2019;Qiyana;Jungle;9.1;72.7;86;28;20
2019;Qiyana;Middle;9.1;72.7;29;24;24
2019;Qiyana;Top;1.3;72.7;0;3;3
2019;Quinn;Top;2.6;9.1;50;5;6
2019;Rakan;Support;29.9;26.0;57;15;55
2019;RekSai;Jungle;16.9;15.6;54;44;33
2019;Renekton;Middle;2.6;59.7;50;12;7
2019;Renekton;Top;23.4;59.7;61;57;50
2019;Rengar;Top;1.3;0.0;0;5;4
2019;Rumble;Middle;1.3;15.6;100;10;1
2019;Rumble;Top;2.6;15.6;0;9;4
2019;Ryze;Middle;32.5;28.6;56;80;59
2019;Ryze;Top;6.5;28.6;60;12;20
2019;Sejuani;Jungle;1.3;0.0;0;1;2
2019;Shen;Support;3.9;0.0;33;3;13
2019;Shen;Top;3.9;0.0;33;8;15
2019;Sion;Middle;3.9;0.0;33;4;6
2019;Sion;Top;5.2;0.0;0;3;14
2019;Sivir;ADC;1.3;1.3;100;11;0
2019;Skarner;Jungle;2.6;2.6;0;2;6
2019;Sona;ADC;1.3;1.3;0;1;3
2019;Sylas;Jungle;1.3;1.3;0;4;4
2019;Syndra;ADC;5.2;51.9;0;5;11
2019;Syndra;Middle;14.3;51.9;36;40;32
2019;Tahm Kench;Support;9.1;5.2;71;8;17
2019;Taliyah;Jungle;6.5;2.6;40;15;11
2019;Thresh;Support;19.5;2.6;53;11;40
2019;Tristana;ADC;2.6;14.3;0;4;3
2019;Tristana;Middle;9.1;14.3;29;19;21
2019;Tristana;Top;1.3;14.3;0;2;6
2019;Twisted Fate;Middle;3.9;18.2;33;6;11
2019;Urgot;Top;1.3;0.0;100;8;5
2019;Varus;ADC;11.7;1.3;67;58;24
2019;Vayne;ADC;2.6;5.2;100;6;3
2019;Veigar;ADC;2.6;10.4;0;5;5
2019;Veigar;Middle;3.9;10.4;67;12;5
2019;Viktor;Middle;1.3;0.0;0;1;2
2019;Vladimir;Top;14.3;11.7;55;34;40
2019;Volibear;Support;1.3;1.3;0;1;4
2019;Xayah;ADC;44.2;39.0;71;153;58
2019;Yasuo;ADC;10.4;18.2;63;20;23
2019;Yasuo;Middle;5.2;18.2;75;11;8
2019;Yasuo;Top;1.3;18.2;100;3;2
2019;Yorick;Top;1.3;0.0;100;2;2
2019;Yuumi;Support;11.7;23.4;33;14;18
2019;Zilean;Middle;1.3;0.0;0;1;1
2019;Zoe;ADC;1.3;0.0;0;2;2
2019;Zoe;Middle;3.9;0.0;33;9;3
2020;Akali;Middle;6.6;11.8;60;25;12
2020;Alistar;Support;7.9;3.9;0;7;27
2020;Aphelios;ADC;7.9;2.6;50;20;14
2020;Ashe;ADC;42.1;26.3;47;101;82
2020;Azir;Middle;13.2;6.6;30;20;20
2020;Bard;Support;19.7;15.8;60;9;34
2020;Blitzcrank;Support;5.3;5.3;50;4;10
2020;Braum;Support;9.2;3.9;57;7;16
2020;Caitlyn;ADC;14.5;35.5;55;34;15
2020;Camille;Top;18.4;55.3;57;65;45
2020;Draven;ADC;2.6;1.3;50;5;3
2020;Ekko;Middle;9.2;3.9;71;21;7
2020;Evelynn;Jungle;5.3;7.9;50;15;11
2020;Ezreal;ADC;27.6;25.0;57;72;54
2020;Fiora;Top;2.6;0.0;50;10;8
2020;Galio;Middle;19.7;5.3;40;36;40
2020;Gangplank;Top;14.5;9.2;45;36;31
2020;Gnar;Top;1.3;0.0;100;1;2
